angDist,RAJ2000,DEJ2000,nobs,B-V,e_B-V,fuv_mag,nuv_mag,ipmag,gpmag,rpmag,present,type,class
0.52878,132.567847,9.790682,6,0.562,0.097,22.906,16.396,11.58,12.072,11.674,1,EW                            ,ECLIPSING
0.124479,132.510446,9.838502,5,0.642,0.1,24.053,17.472,11.76,12.341,11.877,1,ROT                           ,ROTATIONAL
1.76552,129.11027,6.982556,6,0.616,0.065,23.922,17.382,12.371,12.946,12.287,1,VAR                           ,UNKNOWN
1.6753,141.09877,6.378265,6,1.584,0.081,22.565,20.239,12.512,15.361,14.045,1,EA+UV                         ,ECLIPSING
0.264516,136.142637,9.298975,5,0.531,0.076,22.848,17.522,13.01,13.429,13.069,1,ROT                           ,ROTATIONAL
0.493624,136.134554,9.33158,5,0.527,0.096,21.793,18.526,14.451,14.817,14.502,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.63396,132.618329,9.897425,6,0.55,0.088,22.325,16.754,12.504,12.929,12.58,1,ROT                           ,ROTATIONAL
1.262457,136.443244,9.558956,5,0.492,0.086,21.159,16.028,11.847,12.236,11.928,1,ROT                           ,ROTATIONAL
0.174475,133.987439,4.168318,5,0.527,0.06,20.428,14.588,9.814,10.244,9.885,1,RRC                           ,RR_LYRAE
1.012989,129.104051,7.285687,5,0.674,0.068,23.354,17.004,11.637,12.345,11.568,1,VAR                           ,UNKNOWN
0.334548,134.552567,0.620706,369,0.655,0.062,22.886,17.999,12.612,13.192,12.746,1,ROT                           ,ROTATIONAL
1.294762,134.795367,5.746814,5,0.331,0.049,20.939,16.499,13.031,13.271,13.101,1,DSCT|GDOR|SXPHE               ,ECLIPSING
1.057967,134.81831,5.750874,5,0.62,0.07,23.514,17.956,12.889,13.57,13.104,1,RS                            ,ROTATIONAL
1.796241,136.525955,9.57369,5,0.486,0.087,20.994,14.866,10.701,11.068,10.749,1,ROT                           ,ROTATIONAL
2.269238,128.564939,7.468811,5,0.353,0.074,18.342,14.055,11.116,11.756,10.656,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.716856,135.832819,5.65097,5,0.593,0.059,22.784,15.818,10.279,10.899,10.436,1,L                             ,LONG_PERIOD
1.222735,136.140216,17.647771,5,1.077,0.156,22.138,21.011,15.06,16.425,15.498,1,ROT                           ,ROTATIONAL
0.425406,133.241428,10.264494,6,0.546,0.033,21.964,16.663,11.932,12.362,12.025,1,RS                            ,ROTATIONAL
0.807327,139.867729,6.081888,5,0.367,0.112,23.497,18.363,14.914,15.28,15.062,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.741095,128.065748,12.657019,5,0.253,0.067,18.688,15.786,12.722,12.813,13.08,1,VAR                           ,UNKNOWN
0.216059,136.021269,14.17855,7,0.554,0.07,23.947,17.345,13.278,13.749,13.069,1,ROT                           ,ROTATIONAL
0.230808,130.271945,9.049264,9,0.601,0.127,22.718,16.916,12.659,13.013,12.31,1,VAR                           ,UNKNOWN
0.538553,140.521261,7.000495,7,0.836,0.067,22.007,17.92,11.548,12.457,11.821,1,RS                            ,ROTATIONAL
0.165127,134.307114,5.364205,5,0.548,0.033,22.861,16.786,12.239,12.674,12.322,1,ROT                           ,ROTATIONAL
0.825614,136.168837,14.346731,5,0.389,0.124,21.085,17.002,13.785,14.56,13.867,1,EW                            ,ECLIPSING
0.412985,138.345436,4.54341,7,0.589,0.257,21.809,16.798,11.892,12.407,12.027,1,EW                            ,ECLIPSING
1.778751,138.65085,4.620293,5,0.42,0.072,20.205,14.086,10.143,10.629,10.234,1,ROT                           ,ROTATIONAL
0.181582,135.687338,5.996827,5,0.572,0.071,23.335,18.328,13.611,14.201,13.799,1,E                             ,ECLIPSING
2.642612,135.656629,9.579175,5,0.297,0.094,21.05,17.587,14.188,14.362,14.215,1,VAR                           ,UNKNOWN
1.069478,127.932174,12.447244,5,0.24,0.041,19.51,15.955,13.017,13.023,13.329,1,ROT                           ,ROTATIONAL
1.342221,127.925418,12.470689,5,1.108,0.044,23.399,20.42,12.167,13.594,12.94,1,ROT                           ,ROTATIONAL
0.591286,140.239653,6.658676,5,0.453,0.043,22.857,16.979,13.049,13.412,13.149,1,E                             ,ECLIPSING
1.422176,135.688308,9.641222,5,0.462,0.067,22.81,16.719,12.303,12.689,12.393,1,ROT                           ,ROTATIONAL
0.799656,135.750975,9.655627,5,0.331,0.05,19.889,15.541,12.082,12.26,12.117,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.374306,130.299838,8.861667,6,0.467,0.092,21.194,17.263,14.014,14.901,14.136,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.707276,130.684367,9.067831,8,0.557,0.159,23.394,16.75,12.778,13.099,12.348,1,ROT                           ,ROTATIONAL
0.182604,133.168526,10.33416,6,1.557,0.052,21.362,19.315,7.544,10.566,9.109,1,MISC                          ,UNKNOWN
0.47658,134.525415,0.653357,377,0.501,0.055,21.827,16.354,12.274,12.646,12.344,1,ROT                           ,ROTATIONAL
0.019001,136.481976,17.790873,6,0.351,0.146,17.281,14.114,10.931,11.12,10.945,1,DSCT                          ,DELTA_SCUTI_ETC
1.675191,136.333888,17.688922,6,0.526,0.164,23.596,17.027,11.771,12.229,11.897,1,ROT                           ,ROTATIONAL
0.024615,127.39379,8.916724,6,0.422,0.13,22.68,16.619,12.578,12.929,12.618,1,DSCT|GDOR|SXPHE               ,ECLIPSING
1.1482,136.269078,17.893582,5,0.727,0.055,23.644,17.18,10.488,11.171,10.678,1,ROT                           ,ROTATIONAL
0.43015,130.701414,8.48125,7,0.577,0.106,23.238,17.884,14.042,14.635,13.751,1,ROT                           ,ROTATIONAL
0.294457,142.405798,7.134412,7,0.452,0.045,22.295,16.978,13.38,13.693,13.452,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.466435,130.126866,9.032914,9,0.563,0.128,23.081,17.252,13.734,13.959,13.31,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.288263,130.134027,9.039369,9,0.581,0.129,23.029,17.519,13.65,13.942,13.291,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.231884,142.696141,7.202926,5,0.655,0.044,23.587,16.396,10.589,11.153,10.719,1,E                             ,ECLIPSING
0.112636,142.608929,7.205794,5,0.432,0.329,19.651,16.029,12.441,12.801,12.513,1,RRAB                          ,RR_LYRAE
0.141947,126.987634,9.61846,5,0.313,0.041,20.371,16.054,12.431,12.544,12.424,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.567229,133.706756,12.536858,5,0.518,0.052,22.822,15.95,11.325,11.768,11.474,1,ROT                           ,ROTATIONAL
0.982966,133.949636,12.468052,5,0.291,0.15,17.727,14.526,11.405,11.509,11.42,1,EC|RRC                        ,ECLIPSING
0.586494,134.164227,5.483359,5,0.616,0.067,23.725,15.813,10.853,11.394,10.956,1,ROT                           ,ROTATIONAL
0.267739,134.23957,0.678492,213,0.532,0.057,22.679,16.309,11.966,12.37,12.043,1,ROT                           ,ROTATIONAL
1.012886,130.083088,13.342904,5,0.152,0.029,15.846,13.16,10.364,10.281,10.858,1,RS                            ,ROTATIONAL
0.292754,130.187252,13.355157,5,0.443,0.029,19.871,14.599,10.463,10.815,11.233,1,MISC                          ,UNKNOWN
0.316077,130.091652,13.472145,5,0.517,0.037,22.414,15.533,11.125,11.603,11.609,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.249356,130.160984,13.556002,5,0.568,0.04,22.71,17.236,12.367,12.92,12.902,1,ROT                           ,ROTATIONAL
0.387159,130.178316,13.622119,5,0.375,0.031,20.332,16.165,12.327,12.608,12.403,1,ROT                           ,ROTATIONAL
0.398949,137.2766,4.817776,6,0.517,0.059,22.619,15.637,11.134,11.571,11.245,1,UG                            ,CATACLYSMIC
0.678578,142.323678,7.523335,6,0.446,0.021,20.104,14.596,10.411,10.741,10.514,1,ROT                           ,ROTATIONAL
0.455689,130.240889,8.04257,6,0.794,0.056,22.588,17.197,11.154,12.11,11.191,1,ROT                           ,ROTATIONAL
0.511671,132.578125,15.858817,5,0.529,0.068,23.094,16.701,11.988,12.427,12.106,1,RRC                           ,RR_LYRAE
1.748305,142.005788,7.510598,5,0.51,0.026,22.896,16.209,11.699,12.124,11.832,1,ROT                           ,ROTATIONAL
0.286862,142.434497,7.501077,6,0.796,0.055,20.707,19.432,13.679,14.477,13.899,1,ROT                           ,ROTATIONAL
1.272263,129.791607,7.588157,5,0.541,0.053,21.574,16.352,12.584,13.186,12.497,1,VAR                           ,UNKNOWN
0.761293,141.356882,6.606275,5,0.641,0.042,23.727,16.476,10.941,11.478,11.097,1,ROT                           ,ROTATIONAL
1.484086,129.732177,7.645128,5,0.568,0.083,21.617,16.416,12.619,13.167,12.497,1,VAR                           ,UNKNOWN
0.21021,141.493566,6.837425,6,0.546,0.055,23.406,17.813,13.406,13.886,13.549,1,EW                            ,ECLIPSING
0.264888,141.4676,6.83857,5,0.425,0.087,22.8,18.214,14.564,14.858,14.639,1,EW                            ,ECLIPSING
1.201368,141.530612,6.983768,6,0.831,0.025,22.665,19.038,12.059,12.919,12.325,1,ROT                           ,ROTATIONAL
0.9589,133.826119,5.676245,5,0.58,0.042,23.396,16.944,12.298,12.825,12.43,1,ROT                           ,ROTATIONAL
1.85462,131.626088,9.593156,9,0.321,0.071,16.889,13.515,10.533,10.68,10.508,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.84188,141.996123,6.942468,5,0.76,0.146,21.877,19.474,13.673,14.474,13.913,1,E                             ,ECLIPSING
1.520002,142.049323,7.086561,6,1.009,0.052,17.745,17.939,13.084,14.373,13.504,1,ROT                           ,ROTATIONAL
0.700425,135.501669,6.44904,6,0.507,0.056,21.901,15.32,10.914,11.347,11.033,1,ROT                           ,ROTATIONAL
0.463448,142.75357,6.851401,7,0.521,0.068,23.64,17.293,12.907,13.283,12.979,1,ROT                           ,ROTATIONAL
0.898504,133.445118,5.096504,5,0.554,0.103,21.729,16.127,11.869,12.4,12.044,1,EW                            ,ECLIPSING
0.290663,133.785537,12.279094,5,0.581,0.326,22.528,17.188,13.246,13.662,13.494,1,ROT                           ,ROTATIONAL
0.7537,133.68643,12.300412,5,0.729,0.327,20.063,18.475,13.293,13.9,13.574,1,ROT                           ,ROTATIONAL
0.721159,133.690728,12.3119,6,0.474,0.291,20.984,15.502,11.251,11.628,11.472,1,ROT                           ,ROTATIONAL
0.866109,133.656751,11.99359,5,0.65,0.256,23.916,17.371,12.734,13.362,13.081,1,ROT                           ,ROTATIONAL
0.528424,135.2331,5.906509,5,0.466,0.048,23.52,17.407,13.043,13.44,13.158,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.184923,130.628258,8.765901,7,1.478,0.146,23.255,21.095,11.648,13.836,11.865,1,ROT                           ,ROTATIONAL
0.170768,134.08672,12.402094,5,0.343,0.075,19.801,15.616,12.298,12.433,12.314,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.969766,136.029745,9.623745,5,0.475,0.213,22.158,16.54,12.23,12.617,12.328,1,EW                            ,ECLIPSING
0.279024,135.990015,10.210139,5,0.419,0.054,21.479,15.866,12.012,12.303,12.066,1,ROT                           ,ROTATIONAL
0.589707,135.808268,10.211264,5,1.499,0.083,17.992,16.928,8.919,11.595,10.352,1,MISC                          ,UNKNOWN
0.324192,138.651743,4.757177,7,0.543,0.06,23.28,17.513,12.521,13.017,12.676,1,DSCT|GDOR|SXPHE               ,ECLIPSING
1.446887,141.997789,6.59202,5,0.546,0.078,22.889,18.394,14.859,15.26,14.948,1,ROT                           ,ROTATIONAL
1.834791,141.880665,6.580466,5,0.468,0.046,21.305,15.564,11.568,11.866,11.63,1,ROT                           ,ROTATIONAL
0.26402,138.411134,4.709567,6,0.443,0.05,22.906,17.531,14.07,14.396,14.146,1,DSCT|GDOR|SXPHE               ,ECLIPSING
2.29098,131.797902,9.534836,8,0.383,0.067,17.715,13.483,10.04,10.325,9.99,1,EW                            ,ECLIPSING
0.269223,131.983265,9.697969,7,0.718,0.103,22.757,18.184,13.061,13.784,13.261,1,EA                            ,ECLIPSING
0.459859,133.876619,8.866141,5,0.479,0.052,22.629,17.166,13.148,13.616,13.312,1,ROT                           ,ROTATIONAL
1.112054,133.91684,8.950287,5,0.329,0.077,20.188,16.434,13.496,13.671,13.523,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.552859,134.157673,9.01979,5,0.455,0.056,23.029,16.66,12.126,12.531,12.236,1,VAR                           ,UNKNOWN
0.397911,134.044717,9.015888,5,0.391,0.062,21.216,16.781,13.141,13.375,13.2,1,DSCT|GDOR|SXPHE               ,ECLIPSING
1.28207,134.562124,9.279584,5,0.46,0.061,22.489,16.243,12.188,12.559,12.267,1,EW                            ,ECLIPSING
0.810138,134.658104,9.633627,6,0.447,0.187,22.753,16.359,12.318,12.702,12.409,1,ROT                           ,ROTATIONAL
1.054018,134.629363,9.640883,7,0.43,0.166,21.711,15.562,11.362,11.701,11.43,1,ROT                           ,ROTATIONAL
0.562188,134.534756,9.788836,5,0.468,0.155,22.192,15.468,11.024,11.437,11.134,1,ROT                           ,ROTATIONAL
0.528392,134.008588,9.384204,9,0.596,0.13,23.048,16.322,10.728,11.319,10.884,1,ROT                           ,ROTATIONAL
0.942381,133.922334,9.389924,6,0.625,0.071,22.793,18.204,13.401,13.988,13.564,1,E                             ,ECLIPSING
0.825078,134.125928,9.482278,6,0.582,0.057,22.689,16.391,11.536,12.037,11.662,1,RS                            ,ROTATIONAL
1.031406,133.98022,9.63851,7,0.861,0.057,23.655,18.405,10.674,11.614,10.943,1,ROT                           ,ROTATIONAL
0.382519,134.240159,9.849054,5,0.45,0.093,22.961,16.196,11.956,12.309,12.036,1,E                             ,ECLIPSING
0.472544,132.437276,10.508545,6,0.39,0.068,20.542,16.015,12.83,13.108,12.884,1,ROT                           ,ROTATIONAL
0.641102,139.036048,6.791125,5,1.152,0.038,22.888,19.89,11.751,13.037,12.103,1,ROT                           ,ROTATIONAL
