angDist,RAJ2000,DEJ2000,nobs,B-V,e_B-V,fuv_mag,nuv_mag,ipmag,gpmag,rpmag,present,type
0.048414,31.702797,12.944131,7,1.472,0.092,23.302,23.021,12.789,15.098,13.748,1,ROT                           
0.869752,31.813236,13.260376,9,0.647,0.008,23.187,17.383,12.509,13.119,12.663,0,
1.308881,31.775365,13.335415,8,1.199,0.027,23.586,21.349,12.651,14.108,13.007,0,
1.249452,31.777241,13.36419,10,0.638,0.01,22.689,16.078,10.837,11.372,10.93,0,
0.537646,31.311973,13.04812,9,0.626,0.024,22.755,15.656,10.72,11.316,10.893,0,
0.412969,31.421073,13.090815,8,0.579,0.017,20.496,13.543,8.822,9.264,8.93,0,
0.973163,31.185104,13.057611,6,0.521,0.034,23.153,18.603,14.232,14.696,14.393,0,
0.998851,31.042561,13.297847,9,0.817,0.031,22.992,16.702,9.634,10.438,9.795,0,
1.364527,31.079641,13.315447,9,0.951,0.091,21.668,18.73,11.124,12.268,11.469,1,ROT                           
0.66442,31.525694,13.43402,10,0.685,0.063,23.499,17.62,11.839,12.511,12.019,0,
0.728267,31.722236,13.581389,7,0.463,0.315,22.983,17.775,13.276,13.759,13.397,0,
1.445639,31.422252,13.490078,10,0.524,0.034,20.622,14.467,10.25,10.636,10.305,0,
1.223494,31.686655,13.737929,10,0.516,0.05,21.092,15.745,11.509,11.921,11.599,0,
1.424286,31.504059,13.714389,9,0.461,0.045,19.994,15.317,11.447,11.87,11.61,0,
0.40562,29.801427,13.166386,9,0.516,0.084,22.706,16.118,12.093,12.556,12.194,0,
0.750485,30.905687,13.284712,9,0.564,0.025,22.563,15.947,11.314,11.869,11.481,0,
0.521203,30.962723,13.744985,7,0.551,0.04,22.546,17.391,12.917,13.495,13.128,0,
1.005972,31.190731,13.679097,8,0.559,0.021,22.302,17.166,12.368,12.851,12.482,0,
0.644712,31.221024,13.764452,7,0.748,0.024,23.331,20.122,13.522,14.261,13.728,1,ROT                           
0.728454,31.308237,13.837282,8,0.658,0.043,23.239,18.839,13.069,13.708,13.242,0,
1.087714,31.549539,13.82378,9,0.51,0.047,21.812,16.197,11.848,12.381,12.069,0,
1.023004,31.229034,13.890024,7,0.508,0.026,22.644,17.225,13.136,13.63,13.292,0,
1.004529,30.624344,13.88355,9,0.468,0.039,22.355,17.487,13.214,13.636,13.334,0,
0.666441,30.736682,13.997576,8,0.62,0.031,23.698,17.265,11.898,12.548,12.104,0,
1.400546,30.618862,14.109734,9,0.503,0.056,19.806,14.976,10.546,10.977,10.647,0,
0.791674,30.86846,13.955518,9,0.452,0.032,20.839,16.534,12.441,12.827,12.55,0,
0.93378,31.101172,14.144806,9,0.487,0.017,21.588,16.413,12.241,12.695,12.388,0,
1.022337,31.222845,14.128511,8,0.55,0.031,22.46,15.988,11.262,11.786,11.415,0,
1.260791,30.985568,14.184038,9,0.656,0.092,21.381,14.534,8.585,9.302,8.7,1,L                             
0.93339,30.69386,14.224894,9,0.534,0.032,22.336,16.26,11.538,12.023,11.671,0,
1.439776,30.928455,14.191765,5,0.543,0.02,23.102,17.477,13.591,14.192,13.793,0,
0.944723,30.99749,14.222859,9,0.583,0.024,23.257,17.145,12.176,12.731,12.331,1,L                             
0.932011,30.875285,14.26327,8,0.478,0.04,23.197,17.817,13.917,14.351,14.025,0,
0.68607,31.061081,14.350319,9,0.676,0.027,23.77,17.669,12.133,12.804,12.326,0,
1.093536,32.784313,13.905923,5,0.405,0.368,23.254,16.717,11.461,12.037,11.668,0,
2.470715,32.483654,14.022556,5,0.57,0.023,21.137,14.299,9.282,10.136,9.382,0,
0.907301,32.172355,14.161689,5,0.417,0.281,23.297,17.465,13.14,13.6,13.245,0,
0.88398,32.145572,14.213659,5,0.385,0.346,21.968,15.986,11.54,12.004,11.669,0,
0.82505,33.000816,14.143017,7,0.468,0.074,22.657,16.725,12.171,12.698,12.38,0,
0.891533,32.83527,14.202063,5,0.529,0.029,23.585,18.27,13.985,14.528,14.142,0,
1.373666,33.577778,14.365825,5,0.492,0.012,20.901,15.806,11.563,12.029,11.717,1,ROT                           
2.220875,33.36276,14.49788,5,0.573,0.022,22.765,17.182,12.625,13.201,12.797,0,
0.539135,33.162995,14.551668,5,0.439,0.055,20.152,14.676,10.546,10.953,10.657,0,
0.575093,33.190086,14.600987,5,0.525,0.016,22.29,17.008,12.392,13.055,12.693,0,
1.387891,32.913035,14.444179,5,0.508,0.041,23.399,17.368,13.027,13.608,13.249,0,
1.414754,32.509499,14.434218,5,0.57,0.024,21.729,15.104,9.885,10.524,10.042,1,EW                            
1.208794,32.78716,14.581963,5,0.376,0.0,19.722,13.679,9.017,9.796,9.12,0,
1.458251,32.613518,14.574564,5,0.596,0.02,22.837,16.811,12.342,12.913,12.497,0,
0.864674,33.055713,14.685636,5,1.042,0.02,22.76,17.601,8.634,10.176,9.018,0,
0.996648,31.658203,14.067723,9,0.495,0.113,22.641,16.64,12.088,12.692,12.359,0,
1.633821,31.59248,14.102252,8,0.683,0.108,21.267,14.415,8.881,9.644,9.029,0,
0.692235,31.659615,14.257756,10,0.588,0.282,20.334,15.562,10.742,11.305,10.83,1,EW                            
0.885427,27.959648,14.631076,5,0.625,0.041,23.564,17.271,12.369,12.973,12.51,0,
2.122252,28.00077,14.654357,5,0.263,0.105,17.389,14.006,10.576,10.678,10.541,0,
2.23119,32.249314,14.555558,5,0.925,0.076,19.22,17.933,12.13,13.242,12.434,1,ROT                           
0.406844,32.080242,14.572832,5,0.481,0.059,21.985,16.273,12.367,12.752,12.426,0,
0.67162,31.88525,14.670072,5,0.619,0.05,23.43,16.484,11.476,12.034,11.588,0,
0.633312,31.966212,14.735223,5,0.716,0.073,23.65,20.485,14.251,14.988,14.4,0,
1.120394,31.358347,14.294865,9,0.533,0.031,21.924,16.35,11.704,12.205,11.851,0,
2.129666,31.379443,14.361812,6,0.487,0.054,21.849,16.869,13.556,14.078,13.745,0,
0.762296,31.446228,14.345617,5,0.53,0.048,22.424,18.173,13.968,14.491,14.157,0,
1.358681,31.734675,12.055494,7,0.609,0.041,23.049,16.18,10.83,11.365,10.947,0,
1.382432,31.880569,12.100968,6,0.47,0.041,20.486,14.188,9.866,10.294,9.998,0,
0.816328,31.414601,14.521244,8,0.548,0.037,23.154,17.173,12.421,12.965,12.599,0,
1.835911,31.121797,14.492264,9,0.447,0.02,19.83,15.236,11.406,11.78,11.501,0,
2.563657,31.075913,14.568384,8,0.591,0.142,20.968,14.495,9.211,9.854,9.345,0,
1.587303,31.673269,14.583749,5,0.447,0.084,15.661,12.153,8.054,8.232,7.993,1,DSCTC                         
2.365993,31.728676,14.657226,5,0.18,0.0,14.792,12.722,9.7,9.84,9.692,0,
2.829788,31.733703,14.649579,5,-0.161,0.046,12.396,12.858,13.432,13.18,13.508,0,
0.978593,31.703333,14.753148,6,0.788,0.066,21.65,16.274,9.751,10.575,10.018,0,
1.529203,31.443569,12.379247,8,0.636,0.033,21.059,15.942,10.911,11.568,11.096,0,
0.857531,31.460944,14.751585,9,0.563,0.025,23.451,17.249,12.679,13.279,12.9,0,
1.411686,31.559697,12.435946,7,0.686,0.048,20.109,14.669,9.217,9.911,9.396,0,
1.965684,31.427592,14.758361,5,0.715,0.066,20.329,19.733,15.028,15.712,15.231,0,
1.138591,31.635728,12.527892,8,0.616,0.045,23.056,15.901,10.956,11.539,11.105,0,
0.824868,29.627757,13.585678,9,0.512,0.062,22.923,17.132,12.793,13.173,12.806,0,
0.879667,29.587517,13.58667,5,0.304,0.087,22.685,18.023,14.575,14.91,14.653,0,
0.563637,29.332226,13.617073,8,0.233,0.051,16.561,13.692,10.55,10.552,10.455,0,
0.706844,29.357824,13.683025,9,0.457,0.046,19.921,14.717,10.581,10.936,10.633,0,
0.699218,29.456006,13.622219,9,0.257,0.099,19.42,16.373,13.237,13.29,13.227,1,EA                            
1.078206,29.446636,13.645503,9,0.479,0.058,22.52,16.638,12.513,12.868,12.565,1,EA                            
0.666587,33.728911,13.103419,5,0.523,0.122,22.458,15.873,10.909,11.456,11.082,0,
0.82062,29.89469,14.00816,5,1.107,0.043,19.243,18.465,13.375,14.757,13.867,0,
0.925567,29.734045,13.99248,9,0.403,0.096,19.363,14.171,10.219,10.592,10.288,0,
0.850101,29.877857,14.042594,8,0.527,0.077,23.4,17.312,12.767,13.299,12.912,0,
1.23941,29.203032,13.606154,5,0.955,0.037,23.53,16.123,7.801,8.835,8.107,0,
1.007065,29.125676,13.637822,10,0.579,0.045,22.457,16.31,11.506,11.985,11.612,0,
0.926758,29.019315,13.719041,11,0.552,0.036,22.022,16.479,11.997,12.54,12.172,0,
0.591872,29.407452,13.953431,8,0.635,0.03,22.301,15.125,9.274,9.923,9.405,0,
1.230534,29.11824,13.85669,10,0.595,0.068,22.429,16.423,11.405,11.959,11.523,0,
1.130015,29.155016,14.011516,10,0.544,0.04,22.513,16.599,12.124,12.588,12.229,1,ROT                           
1.140842,29.107532,14.063534,10,0.631,0.019,23.405,16.495,10.966,11.484,11.065,1,ROT                           
0.836069,29.518428,14.03604,9,0.513,0.089,22.464,16.76,12.243,12.722,12.351,0,
0.315608,29.704459,14.018227,6,0.5,0.012,22.765,17.334,13.506,13.912,13.61,0,
2.126119,29.691596,14.058741,9,1.246,0.069,20.986,19.2,9.21,10.618,9.543,0,
1.215334,30.477906,14.101493,9,0.464,0.063,19.782,14.337,10.369,10.787,10.447,0,
0.815957,30.491428,14.165584,9,0.585,0.038,22.97,16.629,11.3,11.845,11.446,0,
0.759013,33.860843,13.328228,5,0.46,0.142,21.595,15.187,10.366,10.924,10.499,1,ROT                           
1.1817,30.142413,14.174851,6,0.664,0.056,23.226,19.834,14.307,14.939,14.453,1,RRAB                          
0.95665,30.006719,14.161303,9,0.433,0.049,20.529,15.749,12.693,13.138,12.853,1,DSCT|GDOR|SXPHE               
0.2637,30.064463,14.302555,7,0.99,0.062,23.813,21.601,13.304,14.404,13.65,0,
0.861336,30.281016,14.258623,10,0.589,0.047,22.497,15.535,10.252,10.846,10.399,0,
1.294258,30.315604,14.28982,7,0.854,0.102,23.22,15.935,8.477,9.527,8.714,0,
0.835265,30.230298,14.333571,9,0.501,0.049,19.537,14.052,9.502,9.99,9.593,0,
1.205229,30.604276,14.273146,8,0.587,0.045,23.931,17.087,12.141,12.708,12.3,0,
1.264023,30.571022,14.440207,8,0.42,0.032,20.31,15.972,12.23,12.549,12.302,0,
1.186349,30.894815,14.5042,9,0.511,0.029,21.335,15.554,10.97,11.438,11.081,0,
1.311181,30.665926,14.674992,8,0.516,0.048,23.027,16.452,12.123,12.574,12.236,0,
0.633097,33.1648,13.02398,7,0.507,0.098,21.648,15.655,10.824,11.446,11.079,0,
0.589918,29.970713,14.277146,9,0.42,0.086,19.67,15.113,10.958,11.33,11.066,0,
0.197791,29.926238,14.294282,6,0.458,0.137,22.927,16.491,12.048,12.613,12.203,0,
0.290301,29.926247,14.294253,9,0.561,0.028,22.927,16.491,12.036,12.603,12.249,0,
0.370413,29.927817,14.319842,9,0.527,0.043,22.063,15.947,11.605,12.099,11.743,0,
0.975206,29.850877,14.342756,7,0.735,0.043,23.561,19.659,14.01,14.756,14.252,0,
0.742597,29.769679,14.313733,9,0.537,0.033,22.701,16.913,12.487,12.963,12.609,0,
0.587132,30.16321,14.485031,9,0.626,0.049,23.839,18.527,13.715,14.373,13.91,0,
0.995215,29.70032,14.340683,8,0.931,0.025,22.415,15.589,8.301,9.336,8.604,1,                              
1.020911,29.84473,14.498122,9,0.49,0.029,21.498,16.002,11.88,12.275,11.978,0,
0.946774,29.591029,14.485326,9,0.492,0.053,22.377,16.974,12.852,13.311,12.958,0,
0.920841,29.9898,14.644225,9,0.563,0.025,22.313,16.082,11.621,12.155,11.766,0,
1.597599,29.835585,14.625412,8,0.548,0.055,20.941,14.071,8.407,8.935,8.531,0,
0.574941,29.811709,14.676812,9,0.529,0.034,20.185,15.143,10.794,11.247,10.901,0,
0.661246,33.27457,13.445364,5,0.507,0.112,23.058,17.046,12.11,12.659,12.298,0,
0.875495,28.863224,14.087022,9,0.418,0.039,19.127,15.009,11.174,11.518,11.266,0,
0.692653,33.208996,13.407116,5,0.471,0.082,21.95,16.553,12.175,12.629,12.353,0,
0.58399,28.658225,14.092572,5,0.517,0.077,21.411,15.187,10.57,11.039,10.671,0,
0.725656,33.337853,13.572852,5,0.671,0.148,22.437,17.13,10.724,11.449,10.923,0,
0.464509,28.571853,14.217082,5,0.505,0.046,22.778,17.324,13.14,13.638,13.296,0,
1.304487,32.974361,13.516733,7,0.646,0.127,23.298,15.942,9.684,10.463,9.809,0,
1.406025,33.063061,13.824014,5,0.338,0.191,19.951,14.174,9.666,10.253,9.718,0,
